Name
Star-rating
Ratings
Offer Price
Original Price
Specifications
vivo T1 44W (Starry Sky, 128 GB)
4.4
36,381 Ratings
₹15,999
₹20,990
6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.36 cm (6.44 inch) Full HD+ AMOLED Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium BatteryQualcomm Snapdragon 680 Processor1 Year Handset and 6 Months Accessories
vivo T1 5G (Starlight Black, 128 GB)
4.4
1,42,172 Ratings
₹16,990
₹20,990
6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium BatteryQualcomm Snapdragon 695 Processor1 Year Handset and 6 Months Accessories
vivo T1 5G (Rainbow Fantasy, 128 GB)
4.4
1,42,172 Ratings
₹16,990
₹20,990
6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium BatteryQualcomm Snapdragon 695 Processor1 Year Handset and 6 Months Accessories
vivo T1 5G (Rainbow Fantasy, 128 GB)
4.3
53,099 Ratings
₹15,990
₹19,990
4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium BatteryTurbo Processor Snapdragon 695 Processor1 Year Handset and 6 Months Accessories
vivo T1 5G (Starlight Black, 128 GB)
4.3
53,099 Ratings
₹15,990
₹19,990
4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium BatteryQualcomm Snapdragon 695 Processor1 Year Handset and 6 Months Accessories
vivo T1 5G (Rainbow Fantasy, 128 GB)
4.3
13,196 Ratings
₹19,990
₹23,990
8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium BatteryQualcomm Snapdragon 695 Processor1 Year Handset and 6 Months Accessories
vivo T1 44W (Midnight Galaxy, 128 GB)
4.3
4,387 Ratings
₹17,999
₹23,990
8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.36 cm (6.44 inch) Full HD+ AMOLED Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium BatteryQualcomm Snapdragon 680 Processor1 Year Handset and 6 Months Accessories
vivo T1 44W (Midnight Galaxy, 128 GB)
4.4
36,381 Ratings
₹15,999
₹20,990
